title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
"Mary, Queen of Scots",http://www.imdb.com/title/tt0038390/,US/UK/Canada,1925,$5.67M,"Daniel Linson Marjane Requa Leyburn Tammy Blanchard, Morgan Spector",1.136084487680308,"Princess Hickam Mesmer Halsey, Scots Essex",Actor,Known,Mediterranean,0.13857402047739772,Female,"Paul Bedelia Carter Jean Arthur, James von Sydow"
Rosewater,http://www.imdb.com/title/tt0049674/,UK,1998,$36.4M,"Bille Cromwell Mankiewicz Sarah-Violet Sokolov Tammy Blanchard, Morgan Spector",1.0,Cesar Potter Satrapi Kyi Scots Essex,Military,Unknown,Caribbean,0.0,Male,Jim Page Jr and Liya James von Sydow
Walk the Line,http://www.imdb.com/title/tt0050383/,US/UK,1931,$36.6K,"Nick Curtiz With: Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Phoolan Zuckerberg Khan) the Peron Essex,Musician,Unknown,African,0.0,Male,"Richard Stevenson Havilland Kate Luke, Austin (older) Sydow"
Saving Mr. Banks,http://www.imdb.com/title/tt0077928/,Canada,1977,$44.3K,"Andrzej Taylor-Johnson Leonard Barbato Pulcini Tammy Blanchard, Morgan Spector",2.0,Ben Jolson BÌ_low Leroy Peron Essex,Academic,Unknown,Middle Eastern (White),0.0,Male,"Fredric Ogata Sydow Kate August, James Whitelaw Sydow"
The Magic Box,http://www.imdb.com/title/tt0117039/,US,1996,$1.03M,"Edo Faenza George Sarah-Violet Leyburn Tammy Blanchard, Morgan Spector",1.0,Ty Halliwell Mozart England Parker) Essex,Historical,Unknown,,0.0,Male,Phil Taylor Robinson Martin Winslet Billie (older) Sydow
Valentino,http://www.imdb.com/title/tt1605803/,Canada/UK,1926,$480K,"Dudley Teplitzky Young Robert Pulcini Tammy Blanchard, Morgan Spector",1.0,Chris Capote Hargreaves Kennedy Peron Essex,Musician,Unknown,Asian,0.0,Male,Casey Rasuk Jr Kate Winslet Austin (older) Sydow
VIPs,http://www.imdb.com/title/tt1951216/,US/Canada,1967,$3.25M,"Rob Boulting Andrew Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,FrÌ©dÌ©ric Solanas Beethoven de Scots Essex,Military,Unknown,Eurasian,0.0,Male,Catherine Ledger Toro Kate Winslet Max Nichols Sydow
The Actress,http://www.imdb.com/title/tt0462504/,US/UK/Canada,1933,$9.59M,"Kasi Besson Sant Hickner Pulcini Tammy Blanchard, Morgan Spector",1.1017768074692718,Jerome Stahl Hickok Munro of Essex,World leader,Unknown,,0.015291177856014934,Male,"Bonnie Samuel Robinson Martin August, Max von Sydow"
The Actress,http://www.imdb.com/title/tt0082979/,UK,1937,$9.53M,"Nick Ivory Donehue Robert Sokolov Tammy Blanchard, Morgan Spector",1.0,Marguerite Belfort Scott Aurore Peron Essex,Other,Known,,0.0,Female,Alexander Kidman Hoffman Pernilla Winslet Kebede Ellison Sydow
Skin,http://www.imdb.com/title/tt0039035/,US/UK,1971,$13.6M,"Bernardo B. Jr. Weisman Ford, Tammy Blanchard, Morgan Spector",1.0,Brian Prefontaine Peebles Jr Jr. Essex,Singer,Known,,0.0,Female,Chloe Friel Hoffman and Liya Max (older) Sydow
Queen Christina,http://www.imdb.com/title/tt0076868/,Canada,1932,$81.2M,"Don Gervasi SchrÌ¦der Solt Ford, Tammy Blanchard, Morgan Spector",3.0,Butch Ungar SÌÁnchez UK Turner) Essex,Other,Known,Asian American,0.0,Female,Andre Kitsch Medeiros Jean Winslet Billie (older) Sydow
Little Ashes,http://www.imdb.com/title/tt1951216/,US,1982,$36.5M,"Douglas Clooney Sant Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,"Johann Jett ""Bull"" Aurore Jr. Essex",Other,Known,Hispanic (White),0.0,Female,Rod Cent Leigh Martin Liya Max (older) Sydow
Escape from Alcatraz,http://www.imdb.com/title/tt0119280/,Canada/UK,1949,$64.4M,"Walter Sharp Marjane Requa Leyburn Tammy Blanchard, Morgan Spector",1.0,Reginald Bathory Toulouse-Lautrec Jr Brasco) Essex,Criminal,Known,Multi racial,0.0,Female,"Doris Dench Jones Derek Kemp, Max Whitelaw Sydow"
Invincible,http://www.imdb.com/title/tt2304771/,US/Canada,1931,$116M,"Art Wise Stern Rosenberg Bliss Tammy Blanchard, Morgan Spector",1.0,Francoise Panzram Flanagan Richard Parker) Essex,Military,Known,Hispanic (Latino),0.0,Female,Gary Ferrer Niro Jean Liya Max Nichols Sydow
Goodfellas,http://www.imdb.com/title/tt0094747/,US/UK/Canada,1953,$616K,"Antoine Thomason Young Sykes Pulcini Tammy Blanchard, Morgan Spector",1.0122999426702768,Vernon Norman SÌÁnchez Earl of Essex,Athlete,Known,Indian,0.01544991574274093,Female,"Greer Crowe VolontÌ© Kate Luke, James Ellison Sydow"
Factory Girl,http://www.imdb.com/title/tt0028141/,UK,1958,$7.56M,"Ken Peerce Smith Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Hans Luttrell Hickok Kennedy Parker) Essex,Activist,Unknown,Hispanic (Latin American),0.0,Male,"Andre Molina FrÌÄå¦ler, Martin Luke, Billie (older) Sydow"
Foxcatcher,http://www.imdb.com/title/tt0161216/,US/UK,1931,$270K,"Philippe McGrath Sant Requa Leyburn Tammy Blanchard, Morgan Spector",1.0,Tommy Francis Lee Rocha Parker) Essex,Athlete,Unknown,Middle Eastern,0.0,Male,"Ralph Stolz Havilland Martin Luke, James Whitelaw Sydow"
Alpha Dog,http://www.imdb.com/title/tt0117791/,Canada,1979,$125M,"Nicholas Balaban Sant Barbato Bliss Tammy Blanchard, Morgan Spector",2.0,Manuel McCandless Lee Munro Parker) Essex,Academic,Unknown,Mediterranean,0.0,Male,"Jake Julia Tsarong Martin August, Billie Whitelaw Sydow"
Young Winston,http://www.imdb.com/title/tt0040976/,US,1996,$22.8M,"Phil Beresford Donehue Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.0,Jean Anglin Muhammad Anastasia Parker) Essex,Athlete,Unknown,Caribbean,0.0,Male,"Raul Gibson and Martin Arthur, Austin von Sydow"
Elizabeth,http://www.imdb.com/title/tt0028167/,Canada/UK,1967,$353K,"Rowdy Pollack Jones Barbato Bliss Tammy Blanchard, Morgan Spector",1.0,"Clyde Duke ""Bull"" Jr of Essex",Military,Unknown,African,0.0,Male,"Julianne Todd Law and Luke, Austin von Sydow"
10 Rillington Place,http://www.imdb.com/title/tt0106912/,US/Canada,1997,$340K,"Pat Till Steve Hickner Sokolov Tammy Blanchard, Morgan Spector",1.0,Terri Suyin Hayslip the of Essex,Media,Unknown,Middle Eastern (White),0.0,Male,"Abbie Bale Cusick Pernilla August, Kebede von Sydow"
The Great Debaters,http://www.imdb.com/title/tt0102674/,US/UK/Canada,1926,$17.5M,"Tate Soderbergh Stern Glenn Leyburn Tammy Blanchard, Morgan Spector",1.3097200549663397,Peter Lymon Corbett Jackson Brasco) Essex,Activist,Unknown,Native American,0.05281243849689105,Male,"Tim Spacek Jordan Jean Kemp, Max von Sydow"
Surviving Picasso,http://www.imdb.com/title/tt0055998/,UK,1959,$17.5M,"Mary Koster Green Sykes Leyburn Tammy Blanchard, Morgan Spector",1.0,Brigham Pekar BÌ_low Crane Peron Essex,Musician,Known,,0.0,Female,"Ben Beach Wood Pernilla August, Max Whitelaw Sydow"
Public Enemies,http://www.imdb.com/title/tt0129290/,US/UK,1997,$16M,"Anton Mann Olmos Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,Emmett Best Crane Smalls) Turner) Essex,Criminal,Known,Eurasian,0.0,Female,Donald Day-Lewis Burke and Liya Kebede (older) Sydow
The Conqueror,http://www.imdb.com/title/tt0368794/,Canada,1943,$31.8M,"Gillies Ichaso Marjane Westmoreland Sokolov Tammy Blanchard, Morgan Spector",1.0,Brigham Sinatra PrÌ©-Finzi England Kid) Essex,Musician,Known,Hispanic (Latina),0.0,Female,"Bob Paxton Lee Pernilla Arthur, Kebede Nichols Sydow"
Rise of the Footsoldier,http://www.imdb.com/title/tt2051850/,US,1938,$44.3K,"Kevin Moran Stern Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,James Villa Alexander Wead Kid) Essex,Athlete,Known,,0.0,Female,"Burt Olivier Cusick Martin Arthur, Austin Nichols Sydow"
Veronica Guerin,http://www.imdb.com/title/tt0112792/,Canada/UK,1964,$2.83M,"Marcos Green George Hanson Bliss Tammy Blanchard, Morgan Spector",1.0,Christy Scott Peebles the Peron Essex,Other,Known,White,0.0,Female,JosÌ© Canet Tsarong Martin Liya Billie Nichols Sydow
American Me,http://www.imdb.com/title/tt2334649/,US/Canada,1968,$10.3M,"Gabriel Harron SchrÌ¦der Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,"Christina, Darwin Waters Jr Turner) Essex",Other,Known,,0.0,Female,Charles Bonham Lee Jean Liya Kebede (older) Sydow
The Longshots,http://www.imdb.com/title/tt0032155/,US/UK/Canada,1938,$450K,"Matthew Palmer, McLaglen Friedman Ford, Tammy Blanchard, Morgan Spector",1.2130591530501957,Jill Lynn Bullock Aurore Scots Essex,Criminal,Known,Hispanic (White),0.05410158338788696,Female,"Vivien Luke Bernal Derek Kemp, James (older) Sydow"
King David,http://www.imdb.com/title/tt0037576/,UK,1993,$1.13M,"Ryan Moors Wellman Glenn Bliss Tammy Blanchard, Morgan Spector",1.0,Joy Sand Roosevelt Jackson Turner) Essex,Artist,Unknown,Multi racial,0.0,Male,"Kerry Lone Burke Pernilla August, Austin Whitelaw Sydow"
Searching for Bobby Fischer,http://www.imdb.com/title/tt0045333/,US/UK,2012,$19.6M,"Bernard Olivier Biesold, Satrapi Sokolov Tammy Blanchard, Morgan Spector",1.0,"Edward Rogers Trapp Halsey, Scots Essex",Author,Unknown,Hispanic (Latino),0.0,Male,"Julianne Murphy Havilland Kate August, Austin (older) Sydow"
Why Do Fools Fall in Love,http://www.imdb.com/title/tt0469903/,Canada,2004,$53.3M,"Burt de Davenport Friedman Pulcini Tammy Blanchard, Morgan Spector",1.0,Frank Sand Peebles Smalls) Kid) Essex,Author,Unknown,Indian,0.0,Male,"Shane Seyfried Phillips Kate Arthur, Max Whitelaw Sydow"
Exodus: Gods and Kings,http://www.imdb.com/title/tt0268978/,US,1942,$3.27K,"Barry Greenaway Green Friedman Sokolov Tammy Blanchard, Morgan Spector",1.0,Kurt V Hoover Richard Kid) Essex,Musician,Unknown,,0.0,Male,"Frank Knowles Olmos Kate Kemp, Billie (older) Sydow"
The Hurricane,http://www.imdb.com/title/tt0199481/,Canada/UK,1972,$15.2M,"Trevor G. Stern Trent Bliss Tammy Blanchard, Morgan Spector",1.0,"Jasmine Loraine Rocket"" Wead Kid) Essex",Singer,Unknown,Middle Eastern,0.0,Male,"Monty Jolie Toro Derek Luke, Billie von Sydow"
The Assassination of Trotsky,http://www.imdb.com/title/tt1235548/,US/Canada,1962,$51.7M,"Ryan Frank, George Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",1.0,Stu Froman Yi Jackson Scots Essex,Academic,Unknown,Mediterranean,1.0,Male,"Meg B. Leigh and Luke, Kebede (older) Sydow"
Why Do Fools Fall in Love,http://www.imdb.com/title/tt1657513/,US/UK/Canada,1925,$4.9M,"Marek Brown Werker Robert Bliss Tammy Blanchard, Morgan Spector",1.1498977977283982,Alferd Moriarity Stroud Menezes Peron Essex,Actress,Unknown,Caribbean,0.04037229958392795,Male,Nicole Sweeney Burke Martin Liya James Ellison Sydow
Joan of Arc,http://www.imdb.com/title/tt0099951/,UK,1959,$13.7M,"Alan H. Green Westmoreland Leyburn Tammy Blanchard, Morgan Spector",1.0,Nancy Biko Hardin Donnie of Essex,Musician,Known,African,0.0,Female,"Ida Okonedo Dillman Kate Arthur, Kebede Ellison Sydow"
Carrington,http://www.imdb.com/title/tt0901481/,US/UK,1969,$9.26M,"Bernard Luna Wellman Requa Sokolov Tammy Blanchard, Morgan Spector",1.0,"Al queen ""Bob"" Earl Kid) Essex",Historical,Known,Middle Eastern (White),0.0,Female,Robert Zahedi Olmos Pernilla Liya Max Nichols Sydow
Brigham Young,http://www.imdb.com/title/tt0989007/,Canada,1944,$64.4M,"Arthur Maybury Schaffner Weisman Pulcini Tammy Blanchard, Morgan Spector",2.0,Queen Kahlo Sousa Donnie Peron Essex,Comedian,Known,Native American,0.0,Female,Jean Phoenix Wood Pernilla Winslet James Whitelaw Sydow
Against the Ropes,http://www.imdb.com/title/tt0038474/,US,1924,$5.13M,"Gillies Siegel Hill Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,Sid Carter Parker England Peron Essex,Other,Known,,0.0,Female,"Ellen Washington Jr Jean Arthur, Max Ellison Sydow"
Cass,http://www.imdb.com/title/tt2304771/,Canada/UK,1967,$57.8M,"Mary Hathaway Chomsky Trent Ford, Tammy Blanchard, Morgan Spector",1.0,Hans Pennant Trapp Sweden Kid) Essex,Athlete,Known,Eurasian,0.0,Female,"Sissy McConaughey Medeiros Derek August, Billie Whitelaw Sydow"
Exodus: Gods and Kings,http://www.imdb.com/title/tt0043949/,US/Canada,1977,$7.56M,"Larysa Kazan Berman, Trent Sokolov Tammy Blanchard, Morgan Spector",2.0,Erik (Esther) CharriÌ¬re UK Parker) Essex,Activist,Known,Hispanic (Latina),1.0,Female,"Norma Kline Dillman Pernilla Arthur, Kebede Ellison Sydow"
To Hell and Back,http://www.imdb.com/title/tt0081748/,US/UK/Canada,1952,$340K,"Hugh Clooney Hayes, Trent Ford, Tammy Blanchard, Morgan Spector",1.032225327889825,Eddy Anton PrÌ© Belaney) of Essex,World leader,Known,,0.10819279181683887,Female,"Nigel Railsback Medeiros Derek August, Max (older) Sydow"
Ray,http://www.imdb.com/title/tt2058107/,UK,1949,$4M,"Melvin Franklin Chomsky Weisman Leyburn Tammy Blanchard, Morgan Spector",1.0,Jacqueline Duke Muhammad Kyi of Essex,Musician,Unknown,,0.0,Male,"Julia Dupont Burke Kate Kemp, Austin von Sydow"
"Edison, the Man",http://www.imdb.com/title/tt0496634/,US/UK,2004,$8.6M,"Toniko Balaban Davenport Barbato Sokolov Tammy Blanchard, Morgan Spector",2.0,Carlton Francis (Feodorovna) of Turner) Essex,Author,Unknown,,0.0,Male,"Taylor Phillip Cooper, Jean Arthur, Max (older) Sydow"
Gandhi,http://www.imdb.com/title/tt0045296/,Canada,1922,$34.6M,"Rodger Ford Steve Robert Pulcini Tammy Blanchard, Morgan Spector",2.0,Billie Flynt Khan) the of Essex,Athlete,Unknown,,0.0,Male,Esther Cooper VolontÌ© Derek Liya Billie Nichols Sydow
Captain Phillips,http://www.imdb.com/title/tt1920945/,US,1924,$1.23M,"Billy Davis Chomsky Hickner Ford, Tammy Blanchard, Morgan Spector",1.0,Mayer Valli Jung Menezes Brasco) Essex,Historical,Unknown,Multi racial,0.0,Male,Irene O'Connell Young Pernilla Winslet Max Ellison Sydow
Love Me or Leave Me,http://www.imdb.com/title/tt0034734/,Canada/UK,2004,$130M,"Mat LeRoy Refn Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.0,Vernon Price Chopin Belaney) of Essex,Military / activist,Unknown,Hispanic (Latino),0.0,Male,"Millie Mol Cusick Kate Arthur, Kebede Nichols Sydow"
Gracie,http://www.imdb.com/title/tt0050171/,US/Canada,1992,$57.8M,"Joseph Hibbs Green Trent Bliss Tammy Blanchard, Morgan Spector",1.0,Woodrow Halliwell Roosevelt Donnie Peron Essex,Government,Unknown,Indian,0.0,Male,"Janet Kilmer Nicholas Martin Kemp, Kebede Whitelaw Sydow"
Lust for Life,http://www.imdb.com/title/tt0463998/,US/UK/Canada,1931,$22.8K,"Kevin G. Chomsky Pal Sokolov Tammy Blanchard, Morgan Spector",1.2231041174503903,"Dean Jefferson ""Patch"" de Turner) Essex",Other,Unknown,Hispanic (Latin American),0.13665998090519368,Male,"Warner Broderick Olmos Derek Luke, Austin Whitelaw Sydow"
October Sky,http://www.imdb.com/title/tt0120788/,UK,1970,$19.1K,"Atom Broderick Randy Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Wyatt Vatel Gogh Jackson Peron Essex,Historical,Known,Middle Eastern,0.0,Female,Simon Fonda Phillips Derek Winslet Austin Ellison Sydow
The Life of Emile Zola,http://www.imdb.com/title/tt0032413/,US/UK,1954,$2.23M,"Rob Bright John Friedman Leyburn Tammy Blanchard, Morgan Spector",1.0,Evel Amadeus von Crane Brasco) Essex,Criminal,Known,,0.0,Female,Helena Anthony Jordan and Liya James Whitelaw Sydow
The Gaul,http://www.imdb.com/title/tt0045332/,Canada,1964,$76.1K,"Neil Lumet McLaglen Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Michael McCandless Great Rocha Turner) Essex,Athlete,Known,Caribbean,0.0,Female,"Will Hamm Tsarong and Kemp, Max Ellison Sydow"
Foxcatcher,http://www.imdb.com/title/tt0048947/,US,1995,$153K,"Joe Ichaso Sajbel Hanson Ford, Tammy Blanchard, Morgan Spector",1.0,Dieter Kuklinski Mesmer Kennedy Parker) Essex,Musician,Known,,0.0,Female,"Marion Walken Basquiat Pernilla August, James von Sydow"
Wired,http://www.imdb.com/title/tt0031516/,Canada/UK,1952,$6.14M,"Ralph Durst D'Sa, Friedman Bliss Tammy Blanchard, Morgan Spector",1.0,Elisabeth Mukhtar Hardin Jackson Parker) Essex,Athlete,Known,Middle Eastern (White),0.0,Female,Emile More (young) and Liya Max Ellison Sydow
Sergeant York,http://www.imdb.com/title/tt0424908/,US/Canada,1983,$66.6M,"Larry Haskin Randy Glenn Pulcini Tammy Blanchard, Morgan Spector",1.0,Etta Browning VI England Jr. Essex,Artist,Known,Native American,0.0,Female,"Isaiah Brando Damme Jean August, Austin (older) Sydow"
Story of G.I. Joe,http://www.imdb.com/title/tt2095649/,US/UK/Canada,1956,$139M,"Earl Menendez Smith Glenn Sokolov Tammy Blanchard, Morgan Spector",1.047300760710787,Ronald Pierrepoint Chaplin of Brasco) Essex,Other,Known,Asian,0.27473673661484926,Female,"Fred Steenburgen FrÌÄå¦ler, Jean Winslet James Ellison Sydow"
Bright Star,http://www.imdb.com/title/tt1920945/,UK,1917,$221K,"Glenn Cuesta Martinson Westmoreland Bliss Tammy Blanchard, Morgan Spector",1.0,Mary Long Cohan UK Scots Essex,Academic,Unknown,Eurasian,0.0,Male,"Georgina Allen Havilland and August, Billie Whitelaw Sydow"
Squanto: A Warrior's Tale,http://www.imdb.com/title/tt0044926/,US/UK,2006,$3.57M,"Michael Hitchcock Furie Solt Sokolov Tammy Blanchard, Morgan Spector",1.0,Heinrich queen Lawrence Munro Parker) Essex,World leader,Unknown,,0.0,Male,"Muhammad Pitt Cooper, Martin August, Austin Nichols Sydow"
Searching for Bobby Fischer,http://www.imdb.com/title/tt0025948/,Canada,1998,$28.7M,"Howard Schlesinger Russell Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,Andy Milhous Bullock Aurore Parker) Essex,Artist,Unknown,African American,0.0,Male,"Rhys Jayston Lucas, Pernilla Kemp, Kebede Nichols Sydow"
Till the Clouds Roll By,http://www.imdb.com/title/tt0059930/,US,1943,$28.6K,"Denzel Kubrick Smith Satrapi Leyburn Tammy Blanchard, Morgan Spector",1.0,Rocky Vatel Nixon England Brasco) Essex,Artist,Unknown,White,0.0,Male,"Peter Grant Abraham Pernilla August, James (older) Sydow"
Private Parts,http://www.imdb.com/title/tt0038474/,Canada/UK,1966,$49.5K,"Federico Korda Olmos Hickner Sokolov Tammy Blanchard, Morgan Spector",1.0,"Lupe Jones ""Spig"" (Tina Kid) Essex",Media,Unknown,Asian American,0.0,Male,Warren Berkowitz Nicholas Jean Liya Austin Whitelaw Sydow
The Color of Time,http://www.imdb.com/title/tt0469903/,US/Canada,1984,$2.06M,"Milos Shavelson Schaffner Westmoreland Sokolov Tammy Blanchard, Morgan Spector",1.0,Heinrich Cadena Suu Aurore Brasco) Essex,Athlete,Unknown,Hispanic (White),0.0,Male,Willem Hemingway Basquiat Martin Liya James Whitelaw Sydow
The Miracle Maker,http://www.imdb.com/title/tt0355702/,US/UK/Canada,1978,$1.01M,"Sherry Hensleigh Biesold, Hanson Leyburn Tammy Blanchard, Morgan Spector",1.4145179863911255,Jerry Leopold Yi Belaney) Parker) Essex,Other,Unknown,,0.07068379223963994,Male,"Sam Giering Bernal Jean Luke, James (older) Sydow"
Cass,http://www.imdb.com/title/tt0119502/,UK,1968,$3.34M,"Nick Hardwicke Marjane Barbato Sokolov Tammy Blanchard, Morgan Spector",1.0,Francis '50 Thompson Anastasia of Essex,Author,Known,,0.0,Female,"Charles Cumberbatch Robinson Martin August, James Whitelaw Sydow"
Mr. Turner,http://www.imdb.com/title/tt0051849/,US/UK,2001,$315K,"Monty Spielberg Donehue Panama Leyburn Tammy Blanchard, Morgan Spector",1.0,Rudy Carter Andersen Dennis Peron Essex,Author,Known,Indian,0.0,Female,"Celyn Boseman Robinson Jean Kemp, Kebede (older) Sydow"
"Jo Jo Dancer, Your Life Is Calling",http://www.imdb.com/title/tt0270288/,Canada,1924,$1.21M,"Sam Temple SchrÌ¦der Hickner Leyburn Tammy Blanchard, Morgan Spector",2.0,"Tony Duchin Rocket"" Jackson Jr. Essex",Criminal,Known,Hispanic (Latin American),0.0,Female,"Anthony Del and Jean Luke, Billie von Sydow"
Hitchcock,http://www.imdb.com/title/tt1809398/,US,1994,$14.4M,"Hal Whorf Green Friedman Leyburn Tammy Blanchard, Morgan Spector",1.0,Frank Barris Toulouse-Lautrec Richthofen Brasco) Essex,Singer,Known,Middle Eastern,0.0,Female,"Cary Midler Cooper, Jean Luke, Billie Whitelaw Sydow"
Girl with a Pearl Earring,http://www.imdb.com/title/tt0478087/,Canada/UK,1962,$16.1M,"Christine Kaufman Davenport Panama Bliss Tammy Blanchard, Morgan Spector",1.0,HÌ©ctor RodrÌ_guez Chopin Kyi Peron Essex,Actress,Known,Mediterranean,0.0,Female,"Victor Murphy Carter Martin Kemp, Kebede Nichols Sydow"
Restoration,http://www.imdb.com/title/tt0095836/,US/Canada,2002,$1.1M,"Diego Hibbs Leonard Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",1.0,Ramses Lopez BÌ_low Richthofen Turner) Essex,Musician,Known,,0.0,Female,"Ginger Whitaker Peebles Jean August, Kebede Nichols Sydow"
Pierrepoint: The Last Hangman,http://www.imdb.com/title/tt0285728/,US/UK/Canada,2012,$14.4M,"Harry B. Biesold, Westmoreland Ford, Tammy Blanchard, Morgan Spector",1.1482638597375183,"Beatrix Bill King, Assisi Kid) Essex",Military,Known,African,0.03296469414810011,Female,"Trey Sheen Robinson Derek Arthur, Billie Nichols Sydow"
Madame Curie,http://www.imdb.com/title/tt0878804/,UK,2002,$126M,"Tim Ichaso Martinson Solt Sokolov Tammy Blanchard, Morgan Spector",1.0,Jimi Dux / (Tina Peron Essex,Historical,Unknown,Middle Eastern (White),0.0,Male,Luke Ian Toro Jean Winslet Kebede Ellison Sydow
Get Rich or Die Tryin',http://www.imdb.com/title/tt0106912/,US/UK,1959,$5.89M,"Marcos Pollack Concini Rosenberg Leyburn Tammy Blanchard, Morgan Spector",1.0,Sid Pryor Kasso Smalls) Kid) Essex,Criminal,Unknown,Native American,0.0,Male,"Vil Diamond Leigh Derek Luke, James Ellison Sydow"
The Whole Wide World,http://www.imdb.com/title/tt0367790/,Canada,1926,$18.4M,"Peter Sigismondi Green Stanislav Sokolov Tammy Blanchard, Morgan Spector",2.0,Francisco Valli York the of Essex,Criminal,Unknown,Asian,0.0,Male,"Soraya Schubert Toro Martin Luke, Billie von Sydow"
The Sessions,http://www.imdb.com/title/tt1210166/,US,1921,$4.87M,"Julie Luna Jr. Barbato Leyburn Tammy Blanchard, Morgan Spector",1.0,Allen Bathory Nichols Adams Kid) Essex,Criminal,Unknown,Eurasian,0.0,Male,"Jean-Claude Pryce Wood Jean August, Austin Ellison Sydow"
Ricky 6,http://www.imdb.com/title/tt1655420/,Canada/UK,1933,$16.1M,"Chris Bergman Wash Glenn Ford, Tammy Blanchard, Morgan Spector",1.0,Grover Gregory (Feodorovna) de Scots Essex,Military,Unknown,,0.0,Male,"Chiwetel Whitaker Basquiat Derek Kemp, Max Nichols Sydow"
The Hammer,http://www.imdb.com/title/tt0040761/,US/Canada,1972,$4.72M,"Shekhar Melo Avildsen Stanislav Pulcini Tammy Blanchard, Morgan Spector",1.0,AnaÌøs Ruettiger Roosevelt Munro Scots Essex,Other,Unknown,African American,0.0,Male,Pat DiCaprio (young) Derek Liya Austin (older) Sydow
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0156020/,US/UK/Canada,1997,$80M,"Ralph Dehlavi D'Sa, Weisman Ford, Tammy Blanchard, Morgan Spector",1.074806232116381,Tobias Potter Great Anastasia Scots Essex,Military,Unknown,White,0.2374065371004972,Male,"Jesse Lloyd Young and Luke, Austin Nichols Sydow"
Nora,http://www.imdb.com/title/tt0090110/,UK,1997,-,"Alex Trogi Chomsky Sykes Sokolov Tammy Blanchard, Morgan Spector",1.0,Xaviera Wigand (Billy Richthofen Parker) Essex,Other,Known,Asian American,1.0,Female,"Jonny Jones VolontÌ© Derek Arthur, Kebede (older) Sydow"
Spitfire,http://www.imdb.com/title/tt0379725/,US/UK,1974,$2.39M,"Joel Ficarra, Peter Westmoreland Leyburn Tammy Blanchard, Morgan Spector",1.0,Emiliano Alexandra Satrapi UK Peron Essex,Artist,Known,Hispanic (White),0.0,Female,Danny Amalric and and Liya Max Whitelaw Sydow
The King and I,http://www.imdb.com/title/tt0038661/,Canada,1952,$32.5M,"Bruce Taymor Wash Hickner Ford, Tammy Blanchard, Morgan Spector",4.0,C.S. Anton de Jr Parker) Essex,Musician,Known,Multi racial,0.0,Female,"Chiara Cassel and and August, Billie Ellison Sydow"
Burning Blue,http://www.imdb.com/title/tt0108551/,US,1968,$3.15K,"Max Vidor Steve Requa Pulcini Tammy Blanchard, Morgan Spector",1.0,Nostradamus Doel (Billy Jr Jr. Essex,Musician,Known,Hispanic (Latino),0.0,Female,"Rudolf Everett Nicholas Derek August, Austin Ellison Sydow"
Romero,http://www.imdb.com/title/tt0250371/,Canada/UK,1966,$52.3M,"Darnell Scorsese David Sarah-Violet Bliss Tammy Blanchard, Morgan Spector",2.0,Omar Maravich Maruge Donnie Parker) Essex,Activist,Known,Indian,0.0,Female,"Claudette Attenborough Peebles Pernilla Kemp, Max von Sydow"
The Magic Box,http://www.imdb.com/title/tt0974014/,US/Canada,2002,$480K,"A.J. Zeffirelli D'Sa, Pal Ford, Tammy Blanchard, Morgan Spector",2.0,Ernest Thorpe (alias Jackson Brasco) Essex,Artist,Known,Hispanic (Latin American),0.0,Female,"Selton Collins Jordan Kate Luke, Kebede von Sydow"
Jefferson in Paris,http://www.imdb.com/title/tt0358273/,US/UK/Canada,1997,$30.2M,"Adam Lloyd Lee Pal Bliss Tammy Blanchard, Morgan Spector",1.168660899875012,CK Caruso Lewis Leroy of Essex,Other,Known,Middle Eastern,0.004237928944583072,Female,"Jamie Bridges Nicholas Pernilla August, Austin Whitelaw Sydow"
Lust for Life,http://www.imdb.com/title/tt0068828/,UK,1999,$14.4M,"Dominic Cardiff Dutton Robert Bliss Tammy Blanchard, Morgan Spector",1.0,Evel Kallen Sr. Jr Jr. Essex,Other,Unknown,,0.0,Male,"Stewart Fox FrÌÄå¦ler, Jean Luke, Austin Nichols Sydow"
Bandit Queen,http://www.imdb.com/title/tt0104753/,US/UK,1991,$11M,"Arnold Kubrick McLaglen Panama Sokolov Tammy Blanchard, Morgan Spector",1.0,Brian Marshall VI Assisi Peron Essex,Musician,Unknown,Caribbean,0.0,Male,"Ioan McCrea Le and Kemp, Max (older) Sydow"
